Feature,Importance
Age,4785
MonthClaimed,2291
Month,2131
DayOfWeek,2113
Make,2088
DayOfWeekClaimed,1879
WeekOfMonth,1504
WeekOfMonthClaimed,1454
DriverRating,1447
PastNumberOfClaims,1315
NumberOfSuppliments,1279
Year,1228
VehiclePrice,1223
AgeOfVehicle,1134
PolicyType,743
BasePolicy,464
AddressChange_Claim,360
MaritalStatus,278
AccidentArea,252
Deductible,250
NumberOfCars,223
Fault,191
Sex,184
PoliceReportFiled,164
Days_Policy_Accident,50
AgeOfPolicyHolder,44
AgentType,41
Days_Policy_Claim,9
VehicleCategory,4
WitnessPresent,0
